date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster,stay_dur,no_of_days_bet_booking,Cin_day,Cin_month,Cin_year
1418013343.0,2.0,3,66.0,403,50364,3428.3823035719975,36319,0,0,5,1423267200.0,1424131200.0,2,0,1,11917,1,0,1,0,140.0,59,73,,,7.0,2.0,2014.0
1405671177.0,11.0,3,73.5,354,43201,1921.8355,28560,0,0,5,1415923200.0,1416009600.0,2,0,1,12257,6,0,1,4,51.0,1509,42,,,14.0,11.0,2014.0
1411848891.0,2.0,3,66.0,226,16923,1697.3955,7783,0,0,9,1414108800.0,1414627200.0,2,0,1,11634,1,0,1,4,174.0,405,78,,,24.0,10.0,2014.0
1362514241.0,2.0,3,66.0,153,21067,1531.6521,28736,0,0,9,1370649600.0,1370736000.0,2,0,1,28499,6,0,1,2,50.0,683,31,,,8.0,6.0,2014.0
1393325383.0,2.0,3,66.0,311,1178,1257.2227,28400,0,0,0,1397692800.0,1398038400.0,2,0,1,12227,6,0,1,2,50.0,701,64,,,17.0,4.0,2014.0
1371473400.0,11.0,3,73.5,385,46963,1407.1711,37943,0,0,9,1378944000.0,1379289600.0,2,0,1,11853,1,0,1,2,50.0,702,69,,,12.0,9.0,2014.0
1405166008.0,24.5,3,61.5,48,4924,1833.809641428799,3972,0,0,1,1407888000.0,1407974400.0,2,0,1,8278,1,0,1,2,50.0,368,34,,,13.0,8.0,2014.0
1395671129.0,2.0,3,66.0,332,55121,230.8285,32708,0,0,9,1395705600.0,1395964800.0,2,0,1,27279,1,0,1,2,50.0,736,91,,,25.0,3.0,2014.0
1406032752.0,11.0,3,73.5,385,52509,1833.809641428799,37943,0,0,1,1416960000.0,1417305600.0,2,0,1,5807,1,0,1,4,161.0,1537,36,,,26.0,11.0,2014.0
1372118978.0,24.5,3,61.5,79,26143,1833.809641428799,3972,0,0,1,1376179200.0,1376265600.0,2,0,1,14908,1,0,1,3,88.0,1032,30,,,11.0,8.0,2014.0
1415222434.0,24.0,3,61.5,51,41641,1833.809641428799,14117,0,0,9,1419811200.0,1419897600.0,2,0,1,8250,1,0,1,2,50.0,628,40,,,29.0,12.0,2014.0
1391079681.0,2.0,3,73.5,627,832,1833.809641428799,44663,0,0,9,1391126400.0,1391212800.0,2,0,1,12471,5,0,1,3,48.0,153,13,,,31.0,1.0,2014.0
1403184577.0,24.5,3,73.5,354,22772,937.7476,33086,0,0,9,1403654400.0,1404000000.0,2,0,1,8266,1,0,1,2,50.0,411,98,,,25.0,6.0,2014.0
1394716658.0,2.0,3,66.0,258,4687,270.3608,33803,0,0,9,1398902400.0,1399161600.0,2,0,1,12014,1,0,1,2,50.0,644,18,,,1.0,5.0,2014.0
1396216067.0,2.0,3,66.0,462,27117,1055.9893,23444,0,0,9,1400544000.0,1401062400.0,2,0,1,8278,1,0,1,2,50.0,368,94,,,20.0,5.0,2014.0
1420038815.0,24.5,3,61.5,48,4924,1833.809641428799,35370,0,0,5,1420588800.0,1420675200.0,2,0,1,23238,6,0,1,3,106.0,330,15,,,7.0,1.0,2014.0
1405166679.0,24.5,3,61.5,48,4924,1833.809641428799,3972,0,0,1,1407888000.0,1407974400.0,2,0,1,8278,1,0,1,2,50.0,368,84,,,13.0,8.0,2014.0
1396266348.0,2.0,3,66.0,448,53593,767.5385,54163,0,0,0,1397001600.0,1397174400.0,2,0,1,12227,6,0,1,2,50.0,701,31,,,9.0,4.0,2014.0
1415123173.0,2.0,3,61.5,39,22063,1833.809641428799,42384,0,0,9,1418083200.0,1418342400.0,2,0,1,12669,5,0,1,2,50.0,701,4,,,9.0,12.0,2014.0
1396983673.0,11.0,3,73.5,135,36086,3123.0938,49396,0,0,0,1403481600.0,1404086400.0,2,0,1,8859,1,0,1,2,50.0,212,96,,,23.0,6.0,2014.0
1391838377.0,2.0,3,66.0,196,2428,1357.558,54163,0,0,1,1395014400.0,1395705600.0,2,0,1,8791,1,0,1,4,8.0,110,65,,,17.0,3.0,2014.0
1406145420.0,24.5,3,69.0,627,53434,1833.809641428799,9701,0,0,2,1406851200.0,1407110400.0,2,0,1,12051,1,0,1,6,170.0,773,46,,,1.0,8.0,2014.0
1387807093.0,11.0,3,73.5,354,43201,1036.2993,28560,0,0,5,1391731200.0,1391817600.0,2,0,1,12654,5,0,1,2,50.0,682,91,,,7.0,2.0,2014.0
1418239856.0,2.0,3,73.5,69,8251,1833.809641428799,53412,0,0,9,1420156800.0,1420243200.0,2,0,1,8220,1,0,1,3,182.0,46,12,,,2.0,1.0,2014.0
1395288783.0,2.0,3,69.0,573,33444,1833.809641428799,30850,0,0,4,1396396800.0,1396483200.0,2,0,1,34383,6,0,1,6,187.5,27,28,,,2.0,4.0,2014.0
1394797176.0,2.0,3,66.0,448,53593,763.324,54163,0,0,1,1397001600.0,1397174400.0,2,0,1,12227,6,0,1,2,50.0,701,37,,,9.0,4.0,2014.0
1384893866.0,2.0,3,66.0,442,35390,12.9696,8714,0,0,9,1385251200.0,1385337600.0,2,0,1,26981,6,0,1,2,50.0,409,72,,,24.0,11.0,2014.0
1414220203.0,2.0,3,73.5,13,53632,1833.809641428799,49410,0,0,2,1415664000.0,1416268800.0,2,0,1,5401,6,0,1,3,182.0,83,81,,,11.0,11.0,2014.0
1413517584.0,24.5,3,73.5,385,50682,3428.3823035719975,38878,0,0,9,1418688000.0,1418860800.0,2,0,1,8744,1,0,1,3,106.0,108,83,,,16.0,12.0,2014.0
1415020175.0,2.0,3,66.0,318,22418,2053.7929,51787,0,0,1,1420934400.0,1421020800.0,2,0,1,8279,1,0,1,2,50.0,1230,94,,,11.0,1.0,2014.0
1419922202.0,24.0,3,61.5,64,9448,1833.809641428799,2451,0,0,4,1423353600.0,1423440000.0,2,0,1,33393,6,0,1,6,105.0,12,8,,,8.0,2.0,2014.0
1377534786.0,2.0,3,66.0,348,5757,568.7135,14099,0,0,9,1377561600.0,1377648000.0,2,0,1,8244,1,0,1,2,50.0,643,72,,,27.0,8.0,2014.0
1371304810.0,11.0,3,73.5,354,2875,2063.9839,28560,0,0,5,1373500800.0,1373673600.0,2,0,1,7258,3,0,1,2,187.5,986,28,,,11.0,7.0,2014.0
1395289269.0,2.0,3,69.0,573,33444,1833.809641428799,30850,0,0,4,1396396800.0,1396483200.0,2,0,1,34383,6,0,1,6,187.5,27,72,,,2.0,4.0,2014.0
1364312395.0,2.0,3,66.0,174,40919,264.0606,50191,0,0,9,1367884800.0,1367971200.0,2,0,1,12206,6,0,1,2,50.0,628,18,,,7.0,5.0,2014.0
1364140269.0,2.0,3,66.0,363,33393,428.9169,17942,0,0,9,1364342400.0,1364428800.0,2,0,1,14806,1,0,1,2,50.0,618,32,,,27.0,3.0,2014.0
1384191089.0,2.0,3,66.0,258,4687,1525.5226,33803,0,0,9,1385337600.0,1385424000.0,2,0,1,12206,6,0,1,2,50.0,628,24,,,25.0,11.0,2014.0
1419617967.0,24.0,3,61.5,64,9448,1833.809641428799,2451,0,0,4,1423094400.0,1423180800.0,2,0,1,14041,6,0,1,6,105.0,35,99,,,5.0,2.0,2014.0
1419678966.0,2.0,3,66.0,220,43026,3428.3823035719975,23234,0,0,2,1427846400.0,1428451200.0,2,0,1,8859,1,0,1,2,50.0,212,25,,,1.0,4.0,2014.0
1415608050.0,24.5,3,73.5,385,50682,3428.3823035719975,38878,0,0,0,1418947200.0,1419206400.0,2,0,1,34383,1,0,1,3,106.0,106,12,,,19.0,12.0,2014.0
1379341743.0,2.0,3,66.0,258,2554,16.9461,33803,0,0,9,1380672000.0,1380758400.0,2,0,1,12191,6,0,1,2,50.0,637,68,,,2.0,10.0,2014.0
1416676040.0,24.5,3,73.5,627,47725,1833.809641428799,1048,0,0,9,1435276800.0,1435449600.0,2,0,1,8803,1,0,1,3,151.0,69,29,,,26.0,6.0,2014.0
1365521137.0,2.0,3,66.0,174,5938,377.4863,50191,0,0,9,1368057600.0,1368144000.0,2,0,1,24281,6,0,1,2,50.0,355,18,,,9.0,5.0,2014.0
1411403992.0,2.0,3,66.0,174,21356,1533.3576,7523,0,0,9,1414800000.0,1415318400.0,2,0,1,13968,6,0,1,4,8.0,121,61,,,1.0,11.0,2014.0
1418062532.0,2.0,3,66.0,325,48100,1833.809641428799,53306,0,0,9,1421366400.0,1421539200.0,2,0,1,8281,1,0,1,2,50.0,663,41,,,16.0,1.0,2014.0
1416689105.0,24.5,3,73.5,627,47725,1833.809641428799,1048,0,0,9,1435276800.0,1435449600.0,2,0,1,8803,1,0,1,3,151.0,69,46,,,26.0,6.0,2014.0
1412587375.0,2.0,3,66.0,220,45599,1714.7271,30641,0,0,9,1412726400.0,1412812800.0,2,0,1,16180,5,0,1,4,8.0,182,16,,,8.0,10.0,2014.0
1399904007.0,22.0,3,61.5,393,14187,1833.809641428799,18798,0,0,9,1402790400.0,1403136000.0,2,0,1,12214,6,0,1,2,50.0,365,50,,,15.0,6.0,2014.0
1419580651.0,2.0,3,66.0,288,51741,1833.809641428799,7812,0,0,3,1419638400.0,1419724800.0,2,0,1,8283,1,0,1,2,50.0,414,2,,,27.0,12.0,2014.0
1395855366.0,2.0,3,66.0,348,48862,1704.0856,10106,0,0,9,1395964800.0,1396224000.0,2,0,1,30790,4,0,1,2,50.0,671,92,,,28.0,3.0,2014.0
1414676896.0,24.5,3,69.0,627,19647,1833.809641428799,22457,0,0,1,1414800000.0,1414972800.0,2,0,1,9115,3,0,1,3,1.0,142,26,,,1.0,11.0,2014.0
1411500106.0,2.0,3,66.0,442,76,255.899,50010,0,0,9,1413590400.0,1413676800.0,2,0,1,12261,6,0,1,2,50.0,412,91,,,18.0,10.0,2014.0
1402931637.0,2.0,3,66.0,314,15653,104.4212,30977,0,0,9,1408060800.0,1408233600.0,2,0,1,5270,1,0,1,2,50.0,695,31,,,15.0,8.0,2014.0
1366054199.0,2.0,3,66.0,220,775,1216.8264,48943,0,0,9,1367280000.0,1367625600.0,2,0,1,8261,1,0,1,2,50.0,646,41,,,30.0,4.0,2014.0
1412112202.0,2.0,3,66.0,153,50542,2850.1865,15632,0,0,1,1412380800.0,1412899200.0,2,0,1,11439,1,0,1,4,163.0,1503,87,,,4.0,10.0,2014.0
1397064333.0,2.0,3,66.0,174,16634,3428.3823035719975,47000,0,0,4,1398643200.0,1398729600.0,2,0,1,34383,6,0,1,3,104.0,41,57,,,28.0,4.0,2014.0
1412376442.0,2.0,3,66.0,153,50542,1746.2449,15632,0,0,2,1412380800.0,1412899200.0,2,0,1,12439,5,0,1,4,8.0,110,73,,,4.0,10.0,2014.0
1406374146.0,24.0,3,61.5,51,9527,1833.809641428799,54043,0,0,4,1406592000.0,1406764800.0,2,0,1,8744,1,0,1,3,106.0,108,89,,,29.0,7.0,2014.0
1377117375.0,2.0,3,66.0,184,27951,94.1163,12950,0,0,9,1377129600.0,1377216000.0,2,0,1,12196,6,0,1,2,50.0,656,13,,,22.0,8.0,2014.0
1408822391.0,2.0,3,66.0,256,2469,681.6121,12995,0,0,9,1412380800.0,1412899200.0,2,0,1,12175,6,0,1,2,50.0,366,4,,,4.0,10.0,2014.0
1412835722.0,2.0,3,66.0,311,33705,2026.6718,6929,0,0,9,1425254400.0,1425859200.0,2,0,1,8033,1,0,1,2,50.0,652,73,,,2.0,3.0,2014.0
1399145216.0,2.0,3,66.0,442,19160,1833.809641428799,47310,0,0,9,1407283200.0,1407628800.0,2,0,1,8791,1,0,1,4,8.0,110,52,,,6.0,8.0,2014.0
1416179844.0,2.0,3,66.0,174,16634,3428.3823035719975,36006,0,0,0,1418774400.0,1418860800.0,2,0,1,8220,1,0,1,3,182.0,46,32,,,17.0,12.0,2014.0
1408218545.0,2.0,3,66.0,462,41898,2104.6446,1482,0,0,0,1410048000.0,1410134400.0,2,0,1,34383,8,0,1,2,50.0,411,72,,,7.0,9.0,2014.0
